name,description
Arcane Sphere Of Faces,Safeguard of the Witchbane Ruins' basement cellar. Mysteriously rare and highly unconventional.
Giant Bat,"The Giant Bats of Limgrave are nocturnal creatures and often rest during the day, unless they are disturbed."
Lesser Runebear,"Feral, often massive bears with runic patterns on their chest. Most commonly found scavenging the realms of The Lands Between or fighting other wild creatures."
Abnormal Stone Cluster,Bizarre catterpillar-shaped beings formed of moss-covered spherical stones and a disturbing eye that looks like that of a human being. They are commonly found as dull groups of seemingly lifeless rocks.
Basilisk,???
Bladed Talon Eagle,"The servants of Stormveil come in many shapes, including Eagles that have been enslaved and fitted with blades. Driving them to attack those who approach"
Boar,"The Boars of Limgrave are less aggressive than normal, but should not be assumed to be passive"
Burning Slug,Burning Slugs move slowly and are located in the open field.
Crab,Crabs thrive in the shallow ponds of Agheel Lake and the shores of Limgrave
Construct,An Enemy made by Enemies
Deer,"Deer roam freely in the plains on Limgrave, now that hunters have all but disappeared"
Dog,"Roaming through the fields of Limgrave, wild Dogs should not be assumed to be docile nor dull."
Giant Dragonfly,The Great Dragonflies of Limgrave buzz and harass all creatures in their vicinity
Direwolf,"Found alone or in small packs, these bloodthirsty beasts stalk the Lands Between with predatory fervor."
Eagle,"Majestic Eagles can be spotted among the cliffs, even during these times."
Giant Crab,"Giant Crabs crowd the shores and shallows, attacking any who approach by swinging their powerful claws and spewing forth high-pressure water."
Giant Land Octopus,Giant Land Octopuses are a dangerous foe for any daring to visit the beaches of Limgrave.
Giant Lobster,"The Lands Between are rife with all manner of life forms, naturally evolving over long periods and adapting to the environment. One such creature is the Giant Lobster — a creature that evolved to grow to such enormous sizes in order to better defend itself against much deadlier threats."
Giant Poison Flower,"Giant Poison Flowers sprout in unlikely places, and summon down the elements on those who approach them"
Giant Rat,???
Guillemot,"The Guillemot on the beaches of Limgrave are docile animals, but they are easily spooked"
Lesser Runebear,"Feral, often massive bears with runic patterns on their chest. Most commonly found scavenging the realms of The Lands Between or fighting other wild creatures."
Lesser Red Wolf Of Radagon,"Hostile, over-sized wolves majestically covered in scarlet fur."
Lesser Spider Hand,"Lesser Spider Hands are horrific creatures, surpassed only by their more powerful, gigantic counterparts."
Land Octopus,The peculiar Land Octopus is a rather small but dangerous creature
Owl,"Owls can be resting on the cliffs of Stormhill, and would even seem friendly and unconcerned by those passing by"
Poison Flower,Poison Flowers grow near caves and cellars in Limgrave
Land Squirt,Land Squirts are repulsive shallow water creatures that emit a poison mist to kill and devour those nearby
