name,effect
Blue Cipher Ring,Enables the wearer to answer calls for rescue
White Cipher Ring,"When invaded, request the aid of a hunter."
Furlcalling Finger Remedy,Reveals co-op and hostile summoning signs
Tarnished's Furled Finger,Creates cooperative multiplayer summon sign.
Finger Severer,"Sends another, or oneself, home."
Duelist's Furled Finger,Creates competitive multiplayer summon sign.
Memory Of Grace,"Lose all runes, return to last site of lost grace."
Tarnished's Wizened Finger,Used to write messages.
Taunter's Tongue,Lures in invanders.
Bloody Finger,Attempts invasion of other player's world.
Small Golden Effigy,Send co-operative sign to summoning pool
Small Red Effigy,Sends competitive sign to summoning pool
Festering Bloody Finger,Attempts invasion of other player's world
Smithing Stone [3],Reinforce armaments up to +9.
Smithing Stone [2],Reinforce armaments up to +6.
Smithing Stone [4],Reinforce armaments up to +12.
Smithing Stone [5],Reinforce armaments up to +15.
Smithing Stone [7],Reinforce armaments up to +21.
Smithing Stone [6],Reinforce armaments up to +18.
Smithing Stone [8],Reinforce armaments up to +24.
Ancient Dragon Smithing Stone,Reinforce armamanets to +25
Somber Smithing Stone [1],Reinforce special armaments to +1.
Somber Smithing Stone [2],Reinforce special armaments to +2.
Somber Smithing Stone [4],Reinforce special armaments to +4.
Somber Smithing Stone [3],Reinforce special armaments to +3.
Somber Smithing Stone [5],Reinforce special armaments to +5.
Somber Smithing Stone [6],Reinforce special armaments to +6.
Somber Smithing Stone [7],Reinforce special armaments to +7.
Somber Smithing Stone [9],Reinforce special armaments to +9.
Somber Ancient Dragon Smithing Stone,Reinforce special armaments to +10
Recusant Finger,Attempts invasion of other player's world
Smithing Stone [1],Reinforce armaments up to +3.
Grave Glovewort [1],Strengthen ashes to +1.
Grave Glovewort [2],Strengthen ashes to +2.
Grave Glovewort [3],Strengthen ashes to +3
Grave Glovewort [4],Strengthens ashes to +4
Grave Glovewort [5],Strengthens ashes to +5
Grave Glovewort [7],Strengthens ashes to +7
Grave Glovewort [6],Strengthens ashes to +6
Grave Glovewort [8],Strengthens ashes to +8
Grave Glovewort [9],Strengthens ashes to +9
Ghost Glovewort [2],Strengthen renowned ashes to +2
Great Grave Glovewort,Strengthens ashes to +10
Ghost Glovewort [1],Strengthens renowned ashes to +1.
Ghost Glovewort [3],Strengthen renowned ashes to +3
Ghost Glovewort [4],Strengthen renowned ashes to +4
Ghost Glovewort [5],Strengthen renowned ashes to +5
Ghost Glovewort [7],Strengthens renowned ashes to +7
Ghost Glovewort [8],Stengthened renowed ashes to +8
Ghost Glovewort [6],Strengthens renowned ashes to +6
Ghost Glovewort [9],Stengthened renowed ashes to +9
Great Ghost Glovewort,Strengthens renowned ashes to +10
Armorer's Cookbook [2],Expands crafting repertoire
Armorer's Cookbook [3],Expands crafting repertoire
Armorer's Cookbook [4],Expands crafting repertoire
Armorer's Cookbook [1],Expands crafting repertoire
Armorer's Cookbook [5],Expands crafting repertoire
Armorer's Cookbook [6],Expands crafting repertoire
Armorer's Cookbook [7],Expands crafting repertoire
Fevor's Cookbook [1],Expands crafting repertoire
Fevor's Cookbook [2],Expands crafting repertoire
Missionary's Cookbook [1],Expands crafting repertoire
Missionary's Cookbook [3],Expands crafting repertoire
Missionary's Cookbook [4],Expands crafting repertoire
Missionary's Cookbook [5],Expands crafting repertoire
Somber Smithing Stone [8],Reinforce special armaments to +8.
Missionary's Cookbook [7],Expands crafting repertoire
Nomadic Warrior's Cookbook [1],Expands crafting repertoire
Nomadic Warrior's Cookbook [2],Expands crafting repertoire
Nomadic Warrior's Cookbook [3],Expands crafting repertoire
Nomadic Warrior's Cookbook [5],Expands crafting repertoire
Nomadic Warrior's Cookbook [4],Expands crafting repertoire
Nomadic Warrior's Cookbook [6],Expands crafting repertoire
Nomadic Warrior's Cookbook [7],Expands crafting repertoire
Nomadic Warrior's Cookbook [9],Expands crafting repertoire
Nomadic Warrior's Cookbook [10],Expands crafting repertoire
Nomadic Warrior's Cookbook [11],Expands crafting repertoire
Nomadic Warrior's Cookbook (12),Expands crafting repertoire
Nomadic Warrior's Cookbook [13],Expands crafting repertiore
Nomadic Warrior's Cookbook [14],Expands crafting repertoire
Fevor's Cookbook [3],Expands crafting repertoire
Nomadic Warrior's Cookbook [16],Expands crafting repertoire
Nomadic Warrior's Cookbook [15],Expands crafting repertoire
Nomadic Warrior's Cookbook [17],Expands crafting repertoire
Nomadic Warrior's Cookbook [8],Expands crafting repertoire
Nomadic Warrior's Cookbook [18],Expands crafting repertoire
Nomadic Warrior's Cookbook (19),Expands crafting repertoire
Nomadic Warrior's Cookbook [20],Expands crafting repertoire
Nomadic Warrior's Cookbook [21],Expands crafting repertoire
