name,region,description
Bridge Of Sacrifice,Limgrave,"A busy bridge swarming with iron-clad foes. Be prepared to engage in an array of melee, ranged and artillery attacks or attempt to push past them"
Church Of Elleh,Limgrave,"Church of Elleh is a ruined building that hides a Site of Grace. The rooftop has caved in and offers no protection from the elements, and weeds are overtaking the walls, but this doesn't stop merchants from seeking what little shelter is on offer"
Deathtouched Catacombs,Limgrave,"Catacombs filled with the stench of death, Skeletons dwell in the shadows"
Church Of Dragon Communion,Limgrave,The dilapidated remains of the Church of Dragon Communion showcase the ruin that came to the land. But could a flame still linger at its altar??
Coastal Cave,Limgrave,"Coastal Cave is a dark opening on the side of a cliff. Its mossy depths are overrun by hostile humanoid creatures, but those who brave it may find passage to new lands"
Dragon-burnt Ruins,Limgrave,"Dragon-Burnt Ruins are what remains of the housing area among Agheel Lake, long lost to the deadly attacks of the fierce Agheel Dragon "
Forlorn Hound Evergaol,Limgrave,"The southern Evergaol of Limgrave, before the entrance to Weeping Peninsula"
Fringefolk Hero's Grave,Limgrave,Fingefolk Hero's Grave is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within
Fort Haight,Limgrave,"The overrun fort of Kenneth Haith, the alleged next ruler of Limgrave"
Divine Tower Of Limgrave,Limgrave,Closed with a giant set of doors. It looks like you need some pieces to interact with the tower.  
Gatefront Ruins,Limgrave,"Gatefront Ruins is what remains of the now destroyed barracks near the fortification. Despite its poor state, it is a heavily guarded location by those loyal to Stormveil"
Limgrave Tunnels,Limgrave,"Limgrave Tunnels are a mine harvested for Glimstone. Its zealous miners don't dare venture into its hidden chambers, for fear of the hoarder Troll within "
Groveside Cave,Limgrave,"Groveside Cave is a small refuge for wildlife in Limgrave. Its proximity to water and ease of access make it a sought-after shelter against bad weather, but those who venture in don't seem to return"
Minor Erdtree (mistwood),Limgrave,Easily distiguished from the rest of the trees in Mistwood Forest.
Highroad Cave,Limgrave,"A cave that houses a tomb, deep within. It is situated at the northmost part of Limgrave. It has been inhabited by a pack of Wolves, Land Octopuses, and Giant Bats"
Mistwood,Limgrave,"Mistwood is a Location in Elden Ring. The Mistwood region is located in the Eastern part of Limgrave. Tiered terrain, small beaches, and luscious forests occupied by Lesser Runebears are the defining features of this region."
Mistwood Ruins,Limgrave,"Concealed by the thriving growth of vegetation, these ruins are kept out of sight by the veil of nature itself. But there's more to it than what you see"
Murkwater Catacombs,Limgrave,"An underground cemetery that is located at the north-east side of Agheel Lake in Limgrave. Once a place for peaceful rest for fallen heroes, it is now infested by goblins.  "
Murkwater Cave,Limgrave,A dark cave halfway through the Murkwater River 
Siofra River Well,Limgrave,"A mystical underground region filled with its own set of skies and stars. Beware, it is teeming with creatures big and small alike"
Smoldering Church,Caelid,The Last Church in Limgrave before reaching Caelid
Stormgate,Limgrave,The Stormgate is a heavily guarded area that marks the border within Limgrave and Stormhill. Only the foolhardy would rush such against such odds 
Stormfoot Catacombs,Limgrave,"Stormfoot Catacombs were meant as a restful place for the deceased, but its now overrun by Goblins. Its deepest secrets are secured by the Guardian of the Burial Tree "
Stormhill,Limgrave,"Stormhill is a Location in Elden Ring. Stormhill is the upper half area of Limgrave, between its central river and Stormveil."
Stormhill Evergaol,Limgrave,The Brave and Foolish alike dare venture into the Stormhill Evergaol and face its relentless knight in battle
Stormhill Shack,Limgrave,The Stormhill Shack is a dilapidated shelter formerly used to house hunters in the area. A Site of Grace offers a needed moment of rest for those traveling nearby 
Stranded Graveyard,Limgrave,Stranded Graveyard is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within
Summonwater Village,Limgrave,"D, Hunter of The Dead, warns you of this nearby village taken over by death, known as Summonwater Village "
Third Church Of Marika,Limgrave,The Ruins of an Old Church found in the Mistwood. The most prominent sight here is a statue of a lady with her arms outstretched
Warmaster's Shack,Limgrave,Small shack in a remote area near north-central Stormhill.
Waypoint Ruins,Limgrave,"Waypoint Ruins consists of a group of broken buildings and abandoned campsites, now overrun with poisonous flowers and their crazed caretaker"
