name,description
Buckler,"A small metal roundshield. The bump in the center enables parrying techniques. A well-timed parry can break an enemy's stance, allowing a critical hit. Best suited for those prepared to take the risk to reap their reward."
Perfumer's Shield,"Golden shield used by the perfumers of Leyndell during military service. Made to be thin and light of weight, even those lacking strength can employ this immunity-boosting shield."
Man-serpent's Shield,"Small copper dome-shaped roundshield carried by the man-serpents of Mt. Gelmir. Said to have been tempered in lava, it boasts great resistance to fire."
Pillory Shield,"Pillory made to punish serious felons, used as a shield. Though made of good, sturdy wood, it is only a makeshift tool and performs as such. Perhaps due to its use as a device with which the guilty were made to endure prolonged suffering, it raises vitality."
Rickety Shield,"A creaky old wooden shield, circular in shape. Roughly reinforced with vines or some such. There are countless other shields available of better make. This piece of scrap isn't worth the effort of equipping."
Beastman's Jar-shield,"Shield fashioned from a tall broken jar carried by the beastmen of Farum Azula. There is a particular knack to wielding it. The beastmen have always fired earthenware jars for the express purpose of making shields. Such are their ways, strange though they are."
Red Thorn Roundshield,"A small, wooden roundshield. It is light and easy to use, but cannot offer the damage negation of a metal shield. Its emblem is an ancient red thorn design. Though it isn't much, it boosts fire damage negation."
Riveted Wooden Shield,"Small wooden roundshield that has been reinforced with metal. It is light and easy to handle, but cannot offer the damage negation of a true metal shield. The design riveted to the center represents both sword and tree."
Scripture Wooden Shield,"A small, wooden roundshield. It is light and easy to handle, but cannot offer the damage negation of a metal shield. An ancient cipher engraving linesd the circumference. Though it isn't much, it boosts holy damage negation."
Blue-white Wooden Shield,"Small wooden roundshield that has been reinforced with metal. It is light and easy to handle, but cannot offer the damage negation of a true metal shield. The design is said to represent the stars of the night sky, portending fate."
Rift Shield,"Small metal roundshiled depicting a sinister rift. An antiquated charm that glares back at an enemy, it boosts focus."
Iron Roundshield,"An ordinary small roundshield made of metal. Heavier than a wooden shield, but boasts higher damage negation. Finely balanced, this shield is easy to use."
Smoldering Shield,"Small shield made upon Mt. Gelmir forged from uncooling lava. Resists frost with its heat, and can even be used to deal fire damage if wielded as a weapon."
Gilded Iron Shield,"Small metal roundshield. Heavier than a wooden shield, but boasts higher damage negation. Though the gold leaf is peeling and the effect is slight, it still boosts holy damage negation."
Ice Crest Shield,"Small metal roundshield. Heavier than a wooden shield, but boasts higher damage negation. The ice crest originates from a Carian princess. Thogh the effect is slight, it boosts magic damage negation and resistance to frost."
Spiralhorn Shield,"Small shield of antlers arranged in an eddy-like pattern. If used to attack a foe, the shield's antlers inflict blood loss. Once given to a Tarnished warrior who cultivated close ties to the ancestral followers. Though the effect is only slight, it boosts immunity, robustness, and focus."
Marred Leather Shield,"Leather shield of Stormveil soldiers. Miuch like the castle, it is marred by mottling and thorns. Some say it is the curse of grafting which causes such affliction, while others talk of its root being something altogether more sinister hidden deep within the castle."
Marred Wooden Shield,"""Wooden shield of the Stormveil soldiers. Much like the castle, it is marred by mottling and thorns. Some say it is the curse of grafting which causes such affliction, while others talk of its root being something altogether more sinister hidden deep within the castle."""
Coil Shield,"An extremely odd shield adorned with a coiled bronze snake. An excellent choice for attention-seekers. This Shield provides an effective defense against poison - after all, how does one poison a poisonous snake?"
Kite Shield,"A standard medium-sized metal shield. Metal shields reliably negate physical damage when guarding, a trait which made them highly trusted on the battlefield."
Banished Knight's Shield,"A tall medium-sized metal shield. Given to knights who, whether by misfortune or misdeed, were forced to abandon their homes. Most of these knights were sent to the fringes, where they were forced to start anew with only despair for company."
Albinauric Shield,"Tall oval shield made of metal carried by young Albinaurics. The ornamentation represents the primordial drop of dew from which they are said to have been created. Boasts exceptional magic damage negation. The Albinaurics' most formidable foes were sorcerers, after all."
Sun Realm Shield,"Shield of honor depicting a city crowned by the sun. It has seen better days. Much like the wear upon the shield, the Seat of the Sun is long faded away."
Silver Mirrorshield,"Shield of radiant silver, festooned with amber and carried by Loretta, Knight of the Haligtree. The shape is said to imitate that of a sacred drop of dew, which inspired the absurd rumor that Loretta herself was an Albinauric."
Round Shield,"A wooden roundshield that has been reinforced with metal. Comparatively light for its size, this shield is easy to handle but lacks a true metal shield's ability to negate damage."
Scorpion Kite Shield,"A standard medium-sized metal shield. Highly reputed for its solid build and reliability. Emblazoned with a yellow scorpion, a warning of surprise attacks and sudden strikes."
Twinbird Kite Shield,"Shield featuring a vividly painted twinbird. The twinbird is said to be the envoy of an outer god, and mother of the Deathbirds. At dwindling levels of HP, this shield slightly boosts both attack and defense."
Blue-gold Kite Shield,A standard medium-sized shield. Highly reputed for its solid build and reliability. The design represents the Erdtree foreground against a blue sky.
Brass Shield,"On the larger side for medium-sized shield, the face has been covered in brass. Commonly employed in the Shattering."
Shield Of The Guilty,"Shield made to venerate a maiden whose eyes were crushed by Briars of Sin before being reborn in these lands. Venerating the repose of the soul, this shield boosts focus. The briars can be used to attack foes."
Great Turtle Shell,"Shield fashioned from a great turtle shell. The natural curve helps it contend with foes' attacks. The turtle is a symbol of tirelessness, and this shield boosts stamina recovery speed."
Carian Knight's Shield,A teardrop-shaped shield embedded with blue glintstones. Carried by knights who served the Carian royal family. Excels when facing magic or holy attacks. Just who were these knights preparing to fight?
Horse Crest Wooden Shield,"A tall, medium-sized wooden shield. Light for its size, and easy to handle. The circular horsehead design evokes a swift gallop."
Candletree Wooden Shield,"A tall, medium-sized wooden shield. Light for its size, and easy to handle. Thought to represent a surreptitious prophecy of cardinal sin, the lit candle-tree design was forbidden."
Large Leather Shield,"A round shield covered in leather. One of the larger categories of medium-sized shield. Though its damage negation may be lacking compared to a metal shield, it can handle wider range of attack affinities."
Flame Crest Wooden Shield,"A tall, medium-sized wooden shield. Light for its size, and easy to handle. Carried by soldiers of the village that is afflicted by frenzy. The yellow flame is the symbol of the affliction, serving as a warning to those who might approach the village."
Hawk Crest Wooden Shield,"A tall, medium-sized wooden shield. Light for its size, and easy to handle. Adorned with a long-forgotten crest of Stormveil, ancient in design."
Beast Crest Heater Shield,"A medium-sized metal shield. Easier to handle than a kite shield. Features a beast as its crest, serving to remind warriors not to succumb to the arousal of battle. Fight with passion, but become nor its prisoner."
Red Crest Heater Shield,A medium-sized metal shield. Easier to handle than a kite shield. The crest symbolizes red wings.
Eclipse Crest Heater Shield,A medium-sized metal shield. Easier to handle than a kite shield. The sun in eclipse is said to be the symbol of the Wandering Mausoleum where the soulless demigods slumber.
Blue Crest Heater Shield,A medium-sized metal shield. Easier to handle than a kite shield. The crest represents a forest and river.
Inverted Hawk Heater Shield,A medium-sized metal shield. Easier to handle than a kite shield. The inverted hawk is the emblem of the company of slaves ordered to explore the Eternal City.
Heater Shield,"A medium-sized metal shield, comparatively easy to handle. Metal shields reliably negate physical damage when guarding, a trait which made them highly trusted on the battlefield. "
Black Leather Shield,"Roundshield covered in black leather. On the larger side for a medium-sized shield. From the north, this shield depicts the polar star in rivets of gold. The inside is lined with fur, protecting the carrier from frost."
Dragon Towershield,"Tower shield engraved with a dragon, symbol of protection. Heavy even among greatshields, it possesses exceptional guarding ability The ancient dragons, who ruled in the prehistoric era before the Erdtree, would protect their lord as a wall of living rock."
Crucible Hornshield,Greatshield of red-tinged gold carried by Crucible Knights. Features a great horn. An ancient holiness dwells within. The crucible horn skewers foes when performing shield bashes.
Distinguished Greatshield,"Greatshield featuring sumptuous ornamentation used by the scions of great families. Due to their excessive size, these shields were at times seen as the hallmark of little lordlings who were too timid to earn a few nicks and scratches."
