name,description,effects
Briars Of Punishment,"An aberrant sorcery discovered by exiled criminals. Theirs are the sorceries most reviled by the academy. Wounds the caster with thorns of sin, sending a trail of bloodthorns running over the ground to impale enemies from below. This sorcery can be cast repeatedly. The guilty, their eyes gouged by thorns, lived in eternal darkness. There, they discovered the blood star.",Wounds caster to unleash trail of bloodthrorns
Ancient Death Rancor,Sorcery of the servants of Death.,Summons horde of vengeful spirits that chase down foes
Briars Of Sin,"An aberrant sorcery, discovered along with red glintstone by those exiled to the north for their crimes. Summons large thorns from a whorl of blood shed by one's own hand in penance for sins. This sorcery can be cast repeatedly. The Academy reviles this sorcery, which draws its power from faith.",Summons thorns from a whorl of your own blood.
Cannon Of Haima,"One of the glintstone sorceries of the Academy of Raya Lucaria. Lobs an explosive magic projectile that flies in an arc. Charging enhances potency. Drawn from the conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict.",Lobs an explosive magic projectile in an arc
Ambush Shard,"One of the night sorceries of Sellia, Town of Sorcery. Launches a projectile from a distance removed from the caster, so as to strike the enemy from behind. This sorcery can be cast repeatedly. The Sellian sorcerers were assassins, and it is said that they often hunted their fellows.",Strikes from behind with projectile fired from distance
Carian Phalanx,One of the sorceries of the Carian royal family.,Forms a defensive arch of numerous magic glintblades
Adula's Moonblade,"Sorcery of Adula, the Glintstone Dragon. Conjures a cold magic greatsword, then delivers a sweeping blow that launches a blade-like projectile of frost. This sorcery can be cast repeatedly. Adula, a devourer of sorcerers, was bested by Ranni and subsequently swore a knightly oath to her Dark Moon.",Sweeping slash followed by cold blade projectile
Carian Greatsword,"One of the sorceries of the Carian royal family. Conjures a magic greatsword and then delivers a sweeping blow. This sorcery can be cast repeatedly. Armed with this spell, sorcerers gain the strength of knights, their loyalty sworn to the moon.",Performs sweeping slash using magical greatsword
Carian Piercer,One of the sorceries of the Carian royal family.,Impales foes with magical greatsword
Carian Retaliation,One of the sorceries of the Carian royal family.,Dispels enemy spells and retaliates with glintblades
Carian Slicer,One of the sorceries of the Carian royal family.,Performs swift sweeping slash using magical sword
Crystal Barrage,One of the glintstone sorceries of the Academy of Raya Lucaria.,Fires a volley of glintstone crystal shards
Collapsing Stars,One of the glintstone sorceries that manipulates gravitational forces.,Pulls foes toward caster with gravity projectile volley
Comet Azur,"Legendary sorcery devised by Azur, primeval sorcerer. Fires a tremendous comet in a torrent akin to the distant starry expanse, the place said to be the origin of glintstone. Hold to continue releasing the sorcery's power. When Azur glimpsed into the primeval current, he saw darkness. He was left both bewitched and fearful of the abyss.",Fires a tremendous comet within a starry torrent
Crystal Burst,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a burst of glintstone crystal shards. This sorcery can be cast repeatedly and while in motion. Charging increases potency. A sorcery of the Crystal Cadre, a group of sorcerers who pursued the wisdom of stone - the secrets locked in the faint cogitation of the Crystalians.",Fires a burst of glintstone crystal shards
Comet,"One of the glintstone sorceries of the Academy of Raya Lucaria. Fires a great magical comet. This sorcery can be cast repeatedly and while in motion. Charging enhances potency. The greatest of the Karolos Conspectus's sorceries, that only a very few sorcerers have ever mastered.",Fires a great magic comet
Crystal Torrent,Sorcery of the mysterious Crystalians.,Creates crystal mass that fires stream of crystal shards
Crystal Release,"Sorcery of the mysterious Crystalians. Creates a mass of crystal, then shatters it to scour a wide area with a violent rain of crystal shards. This sorcery is used by high-ranking adepts among the Crystalians. Some also call this sorcery ""the Crystal Sun.""",Scours area with violent rain of crystal shards
Fia's Mist,"Sorcery of Fia, the Deathbed Companion. Creates a deathly mist before the caster, which inflicts Death blight upon those who enter. This sorcery can be cast while in motion. Charging enhances range of the mist. This sorcery was developed to oppose the Roundtable Hold, and is effective only against the Tarnished.",Release a mist of death before caster
Eternal Darkness,"Forbidden sorcery of Sellia, Town of Sorcery. ",Creates a dark space that draws in spells
Frozen Armament,Sorcery said to have been used by the old snow witch. Enchants armament held in the right hand with frost. This sorcery can be cast while in motion. The snowy crone taught the young Ranni to fear the dark moon as she imparted her cold sorcery.,Enchants right-hand armament with frost
Founding Rain Of Stars,"The eldest primeval sorcery, said to have been discovered by an",Releases a downpour of star rain for a while
Explosive Ghostflame,Sorcery of the servants of Death.,Causes ghostflame explosion that burns wide area
Freezing Mist,Sorcery said to have been used by the old snow witch.,Releases cold mist before caster
Gelmir's Fury,One of the sorceries developed from the magma of Mt. Gelmir.,Covers area with surge of magma from the earth
Gavel Of Haima,"One of the glintstone sorceries of the Academy of Raya Lucaria. Creates a magical greathammer and slams it down. Allows one follow-up attack. Drawn from the scholarly conspectus of Haima, the adjudicator of the academy, this sorcery employs might as a means to quell conflict.",Attacks using a magic greathammer
