name,description
Albinauric Ashes,Ashen remains in which spirits yet dwell. Use to summon the spirits of two Albinaurics.
Ancestral Follower Ashes,Ashen remains in which spirits yet dwell. Use to summon the spirit of an ancestral follower.
Archer Ashes,Ashen remains in which spirits yet dwell. Use to summon three archer spirits.
Avionette Soldier Ashes,"Ashen remains in which spirits yet dwell. Use to summon the spirits of two avionette soldiers. Spirits of marionette soldiers with avian features that were created to serve a sorcerer. Equipped with long-hafted scythes, they also attack from the skies by lobbing fire pots. Can sometimes malfunction when damaged."
Banished Knight Oleg,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Oleg, the Banished Knight."
Demi-human Ashes,Ashen remains in which spirits yet dwell. Use to summon the spirits of five demi-humans.
Fanged Imp Ashes,Ashes remains in which spirits yet dwell. Use to summon two fanged imp spirits.
Finger Maiden Therolina Puppet,One of Seluvis's puppets.
Giant Rat Ashes,Ashen remains in which spirits yet dwell. Use to summon the spirits of three giant rats.
Black Knife Tiche,Legendary ashen remains. Use to summon the spirit of Black Knife Tiche.
Glintstone Sorcerer Ashes,Ashen remains in which spirits yet dwell. Use to summon the spirit of a glintstone sorcerer.
Godrick Soldier Ashes,Ashen remains in which spirits yet dwell. Use to summon the spirits of two of Godrick's soldiers.
Jarwight Puppet,One of Seluvis' puppets. Use to summon the spirit of a jarwight.
Kaiden Sellsword Ashes,Ashen remains in which spirits yet dwell.Use to summon the spirit of a Kaiden sellsword.
Greatshield Soldier Ashes,Ashen remains in which spirits yet dwell. Use to summon five greatshield soldier spirits.
Lhutel The Headless,Legendary ashen remains. Use to summon the spirit of Lhutel the Headless.
Mad Pumpkin Head Ashes,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a mad pumpkin head. Spirit of a mad soldier with a large, brawny physique. Though he has stifled his panic within the dark confines of his helmet, he rampages as if driven mad when agitated by bloodshed or the humming of insects. This mad soldier is all that is left of a broken gladiator."
Marionette Soldier Ashes,Ashen remains in which spirits yet dwell. Use to summon the spirits of two marionette soldiers.
Lone Wolf Ashes,Ashen remains in which spirits yet dwell. Use to summon the spirits of three lone wolves.
