name,description
Hand Axe,"Commonly known as a hatchet, this smaller variety of axe is an everyday work tool. Despite its short reach, it is easy to handle, exceling in successive attacks."
Jawbone Axe,"Axe made from a herbivore's skull. Weapon of the ancestral followers who disdain metal. This axe is more of a bludgeon; it forgoes a bladed edge, instead using the beast's molar teeth to buffet foes, dealing strike damage."
Forked Hatchet,"Peculiar hatchet wielded by imps. The gently undulating forked blade is known as an ""imp's tongue"" and causes blood loss."
Iron Cleaver,"Fairly large iron cleaver, commonly used by the maltreated Misbegotten.  Steeped in resentment, these weapons are swung wildly and relentlessly, often after rushing up to foes. "
Battle Axe,"A thick, heavy blade attached to a handle. A versatile, standard weapon Capable of powerful attacks thanks to the weighty blade, these weapons are also regarded for their powerful charge attacks. "
Ripple Blade,"Unique weapon wielded by young Albinaurics, this sword is modelled after the ripples that are thought to be the origin of their species. Its attack power is greatly enhanced with one's arcane attribute."
Icerind Hatchet,"A hatchet with a frost-coated blade. One of several gifts given by Castle Sol in the distant north. Known as ""freezing fog,"" the blade is thought to be a dragon's scale. Inflicts a powerful frost effect."
Sacrificial Axe,Hatchet used in ancient sacrificial rite. A Deathbird is depicted as a malevolent deity. The power of the rite yet lingers. A small amount of FP is restored upon slaying a foe.
Celebrant's Cleaver,"Cleaver decorated with many-colored fabrics. Ceremonial tool used by dancers during the festivities of Dominula, Windmill Village. Crafted from human bone. Grants trace amounts of runes upon landing attacks."
Rosus' Axe,"Usher of Death, Rosus, who shows the path to the catacombs throughout the Lands Between, is depicted on this ritual axe. The dead easily lose their way, and have always been in sore need i of a guiding hand."
Highland Axe,Single-sided axe used by the warriors of the highlands.  Brave combatants begin battle by crying out their names. Roars are enhanced by this weapon.
Warped Axe,"Oversized double-headed axe with a bizarre, almost melted appearance. Brute strength is the only thing required to wield this weapon, which appears to have taken quite the beating itself."
Stormhawk Axe,"Battle axe designed to resemble a hawk, wioth its wings comprising the blade. Signature weapon of warriors who strive to remain one with the storm, despite being so far from their place of birth. Their hearts are proud, and thereby easily undone."
Gargoyle's Black Axe,"Bronze greataxe wielded by Valiant Gargoyle, mended with blackened corpse wax. Deals holy damage. Such is the mark of those who serve Maliketh, the Black Blade."
Hand Ballista,An unconventional ballistic device modeled on a weapon used to besiege castles. Only capable of firing greatbolts.  Perfect for reckless acts such as storming a castle on facing an entire army alone.
Jar Cannon,"Jar cannon which uses explosives to fire greatbolts. Deals great damage but is slow to reload.  Experimental firearm brought to the assault on Volcano Manor, where it was discovered that no one knew how to use it."
Longbow,"Longbow made to fire arrows over great distances. Compared to a shortbow, arrows fired reach further and deal more damage. To use a bow, arrows must also be equipped. "
Albinauric Bow,Longbow featuring delicate silverwork. Wielded by Albinauric wolfback archers. This bow requires dexterity over strength to master.
Erdtree Bow,"Longbow featuring Erdtree styling. In times of old, when faith and battle went hand in hand, this weapon was created in tandem with the Golden Arrow. Scales all arrow damage with faith, revealing its true worth when used with holy-infused arrows."
